CaseId,PacketId,SourceId,DestinationId,ApplicationBytes,Dscp,GeneratedSeconds,BeforeOutcome,AfterOutcome,BeforeLatencySeconds,AfterLatencySeconds,BothDeliveredLatencyDeltaSeconds,BeforeDropReason,AfterDropReason
offered_load_x4_seed129,26,3,1,64,0,267.0,delivered,delivered,0.341492666653153,0.341492666653153,0.0,,
offered_load_x4_seed129,27,2,1,64,0,269.25,delivered,delivered,0.300512666649354,0.300512666649354,0.0,,
offered_load_x4_seed129,28,3,1,64,0,269.25,dropped,dropped,,,,retry_exhausted,retry_exhausted
offered_load_x4_seed129,29,2,1,64,0,271.5,delivered,delivered,0.183492666645407,0.183492666645407,0.0,,
offered_load_x4_seed129,30,3,1,64,0,271.5,delivered,delivered,4.77151266663736,4.77151266663736,0.0,,
offered_load_x4_seed129,31,2,1,64,0,273.75,delivered,delivered,0.169492666641418,0.169492666641418,0.0,,
offered_load_x4_seed129,32,3,1,64,0,273.75,delivered,delivered,0.637492666640583,0.637492666640583,0.0,,
offered_load_x4_seed129,33,2,1,64,0,276.0,delivered,delivered,2.62451266663317,2.62451266663317,0.0,,
offered_load_x4_seed129,34,3,1,64,0,276.0,delivered,delivered,0.271512666637364,0.271512666637364,0.0,,
offered_load_x4_seed129,35,2,1,64,0,278.25,delivered,delivered,0.374512666633166,0.374512666633166,0.0,,
offered_load_x4_seed129,36,3,1,64,0,278.25,delivered,delivered,2.33849266662952,2.33849266662952,0.0,,
offered_load_x4_seed129,37,2,1,64,0,280.5,delivered,delivered,2.33749266662551,2.33749266662551,0.0,,
offered_load_x4_seed129,38,3,1,64,0,280.5,delivered,delivered,0.257492666629219,0.257492666629219,0.0,,
offered_load_x4_seed129,39,2,1,64,0,282.75,delivered,delivered,0.32149266662509,0.32149266662509,0.0,,
offered_load_x4_seed129,40,3,1,64,0,282.75,delivered,delivered,2.50451266662134,2.50451266662134,0.0,,
offered_load_x4_seed129,41,2,1,64,0,285.0,delivered,delivered,2.52951266661728,2.52951266661728,0.0,,
offered_load_x4_seed129,42,3,1,64,0,285.0,delivered,delivered,0.254512666621338,0.254512666621338,0.0,,
offered_load_x4_seed129,43,2,1,64,0,287.25,delivered,delivered,0.279512666617279,0.279512666617279,0.0,,
