seed,node,source,start_s,end_s,source_attempts,source_admitted,source_blocked,source_delivered_events,nwk_enqueued,nwk_submitted,nwk_released,hop_admitted,hop_sent_callbacks,hop_retry_requests,hop_acks,hop_dacks,hop_dack_expired,hop_failed,mean_nwk_custody,mean_nwk_pre_first_submit,mean_hop_capacity,mean_dack_hold
128,2,7,1200.0,1500.0,15000,28,14972,23,21,18,18,18,25,7,0,18,18,0,26.863063877085732,26.7343805469008,1.304283331851731,1.1756000016667962
128,2,7,1500.0,1800.0,15000,28,14972,22,34,45,44,45,55,11,6,38,36,0,23.34545066024933,22.9127249787466,3.0226737272872684,2.589948045784533
128,2,7,1800.0,2100.0,15000,40,14960,30,34,35,36,35,49,13,0,35,36,1,16.600821851371133,16.203741857390135,2.886680976089132,2.4896009821081315
128,2,7,2100.0,2400.0,15000,35,14965,34,33,31,31,31,37,6,4,27,26,0,16.861120653998928,16.63860399251787,2.1347356851141317,1.9122190236330698
128,2,7,2400.0,2700.0,15000,41,14959,28,42,43,42,43,58,16,4,38,37,0,16.659570293485327,15.995691278556667,3.236648039580329,2.5727690246516657
128,2,7,2700.0,3000.0,15000,53,14947,29,41,39,39,39,50,11,0,38,40,1,19.306972429631667,18.992260082110473,2.923560975440922,2.608848627919732
128,2,7,3000.0,3300.0,15000,42,14958,25,38,39,40,39,53,15,0,40,38,0,20.58794587387706,20.23133823565866,3.141969017521468,2.785361379303069
128,2,7,3300.0,3600.0,15000,41,14959,45,41,39,39,39,59,20,0,38,38,1,18.951842429631665,18.616213415536397,3.2213690176140712,2.8857400035188037
128,2,7,3600.0,3900.0,15000,42,14958,18,35,34,34,34,42,8,0,33,34,1,23.714980509336872,23.47792482764893,2.4790966636108713,2.2420409819229294
128,2,7,3900.0,4200.0,15000,42,14958,46,41,31,30,31,41,11,0,30,31,0,24.257484599342813,23.989202250525203,2.50695333046274,2.2386709816451273
128,2,7,4200.0,4500.0,15000,38,14962,30,43,39,40,39,53,14,0,39,38,1,33.31747797276912,32.92301797888073,3.079049018632683,2.6845890247442914
128,2,7,4500.0,4800.0,15000,29,14971,43,37,51,50,51,77,26,0,49,49,1,28.60369740075901,28.1545626987716,4.335791373191475,3.886656671204067
128,2,7,4800.0,5100.0,15000,30,14970,19,27,33,34,33,49,16,0,34,36,0,17.592716563900396,17.2926089245708,2.9191896002122544,2.619081960882662
128,2,7,5100.0,5400.0,15000,28,14972,27,26,24,24,24,32,8,0,24,23,0,17.57682282730693,17.422729498418395,1.8267623522438075,1.6726690233552715
128,2,7,5400.0,5700.0,15000,28,14972,23,30,25,25,25,33,8,0,25,24,0,20.04617293480732,19.89381293943733,1.8461490188178746,1.693789023447883
128,2,7,5700.0,6000.0,15000,31,14969,25,33,40,40,40,52,12,0,40,40,0,22.582192796303058,22.327969469266534,3.120336664073875,2.86611333703735
128,2,8,0.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
128,2,8,300.0,600.0,15000,89,14911,4,73,51,48,51,63,16,21,26,25,1,20.470746068409447,19.74453665721124,2.4592984347384244,1.733089023540214
128,2,8,600.0,900.0,15000,40,14960,40,38,40,43,40,59,17,0,41,39,2,21.559023519503757,21.190369214432838,3.2250290177995873,2.856374712728671
128,2,8,900.0,1200.0,15000,24,14976,24,24,22,22,22,28,6,0,20,23,2,18.54604768136447,18.404706309469294,1.5518776436818762,1.410536271786699
128,2,8,1200.0,1500.0,15000,21,14979,19,21,17,16,17,25,8,1,15,15,0,24.970238586203333,24.853126234422533,1.117112353169801,1.0000000013890007
128,2,8,1500.0,1800.0,15000,23,14977,21,22,37,37,37,53,17,23,14,13,0,19.941929755983335,19.451633094224466,1.4107623508548006,0.9204656890959344
128,2,8,1800.0,2100.0,15000,32,14968,28,31,29,30,29,42,13,7,21,22,2,14.386916486830932,14.023180804031803,1.9099366636108637,1.5462009808117334
128,2,8,2100.0,2400.0,15000,32,14968,24,32,29,29,29,40,11,6,22,22,1,16.867623768919806,16.587814752416936,1.8131423518733982,1.5333333353705318
128,2,8,2400.0,2700.0,15000,41,14959,27,38,37,36,37,48,12,23,12,12,1,14.80913431343033,14.303672943387264,1.3054613711542682,0.800000001111201
128,2,8,2700.0,3000.0,15000,35,14965,24,35,36,37,36,52,15,1,36,33,0,16.036577757675733,15.707300118901731,2.5477647055062045,2.2184870667322016
128,2,8,3000.0,3300.0,15000,27,14973,19,26,31,31,31,39,8,0,31,31,0,15.271623012061998,15.0361630178032,2.5849699971293982,2.3495100028706006
128,2,8,3300.0,3600.0,15000,27,14973,26,26,25,24,25,34,9,0,24,25,0,12.771686160640266,12.5515271440448,1.9194199976849966,1.6992609810895283
128,2,8,3600.0,3900.0,15000,28,14972,14,28,23,24,23,33,10,0,24,23,0,15.045907391669871,14.846536417154933,2.005909997870199,1.806539023355261
128,2,8,3900.0,4200.0,15000,19,14981,32,19,20,20,20,25,5,0,20,22,0,14.820407936938537,14.694751273975863,1.5046352892156027,1.3789786262529302
