seed,node,source,destination,sequence,peer,time_s,reason,resend_count,event_index,enqueue_s,admission_s,admission_event_index,hop_admission_to_nsdp_release_completion_s,enqueue_to_nsdp_release_completion_s
129,8,7,1,5728,2,1624.766295346,dack,0,1259806,1251.871812442,1623.914295402,1258980,0.8519999439999992,372.89448290400014
129,4,2,1,5603,5,1626.313292444,ack,0,1261570,1484.116813632,1620.957292472,1255952,5.355999971999836,142.1964788119999
129,4,2,1,5609,5,1628.159292444,ack,0,1263225,1484.584813632,1626.313292472,1261573,1.845999971999845,143.57447881199982
129,4,7,1,4182,5,1630.460292444,dack,0,1265084,1487.275813632,1629.4912925,1264217,0.968999943999961,143.18447881199995
129,4,2,1,5614,5,1630.460292444,ack,1,1265086,1484.987813632,1626.313292472,1261580,4.146999972000003,145.47247881199996
129,4,8,1,4630,5,1631.097292444,ack,0,1265564,1488.393813632,1630.1412925,1264769,0.9559999440000411,142.70347881199996
129,4,2,1,5634,5,1631.734292444,ack,0,1266304,1488.640813632,1630.460292472,1265089,1.273999971999956,143.09347881200006
129,4,7,1,4277,5,1632.748292444,dack,0,1267095,1493.359813632,1631.097292472,1265567,1.650999972000136,139.38847881200013
129,4,8,1,4553,5,1632.748292444,ack,1,1267097,1486.456813632,1628.159292472,1263228,4.5889999720000105,146.29147881200015
129,4,7,1,4265,5,1633.476292444,dack,0,1267702,1496.999813632,1631.734292472,1266307,1.7419999719998032,136.47647881199987
129,4,7,1,4264,5,1633.476292444,dack,0,1267704,1493.905813632,1631.1682925,1265675,2.307999943999903,139.57047881199992
129,4,2,1,5780,5,1634.100292444,ack,0,1268261,1508.179813632,1632.748292472,1267100,1.3519999719999305,125.92047881199983
129,4,8,1,4696,5,1634.490292444,ack,0,1268741,1513.912813632,1634.100292472,1268264,0.3899999719999414,120.57747881199998
129,8,7,1,5773,2,1636.059000028,no_ack,2,1270115,1254.601812442,1625.864295402,1260946,10.194704625999975,381.4571875859999
129,4,8,1,4730,5,1639.170292444,ack,1,1272202,1515.368813632,1635.6272925,1269713,3.54299994400003,123.80147881200014
129,8,8,1,6307,2,1640.353295346,ack,0,1273657,1262.02,1639.397295402,1272479,0.9559999440000411,378.3332953460001
