seed,node,peer,source,destination,sequence,hop_sequence,admission_s,admission_event_index,threshold_at_admission,release_s,release_reason,release_event,capacity_retention_s
130,4,5,8,1,2444,317,1188.512292472,951957,0,1189.318292444,ack,hop_completion,0.8059999720001088
130,8,2,7,1,4304,327,1171.202295402,933413,5,1191.898295374,dack_expiry,hop_capacity_release,20.69599997200021
130,8,2,7,1,4327,329,1172.138295402,934306,5,1193.328295374,dack_expiry,hop_capacity_release,21.189999971999896
130,4,5,8,1,2507,318,1189.318292472,952893,0,1193.816292444,ack,hop_completion,4.497999972000116
130,4,5,7,1,2224,319,1193.816292472,958225,0,1194.349292444,ack,hop_completion,0.5329999719999705
130,8,2,7,1,4309,331,1173.328295374,935816,5,1194.823295374,dack_expiry,hop_capacity_release,21.49500000000012
130,8,2,7,1,4350,332,1174.017295374,936547,5,1195.434295374,dack_expiry,hop_capacity_release,21.416999999999916
130,8,2,7,1,4357,333,1177.000295402,939986,5,1197.813295374,dack_expiry,hop_capacity_release,20.81299997200017
130,7,8,7,1,5937,327,1177.292292498,940383,6,1198.16429247,dack_expiry,hop_capacity_release,20.871999971999912
130,7,8,7,1,5832,321,1155.108292498,916142,6,1200.39329247,dack_expiry,hop_capacity_release,45.28499997199992
130,4,5,7,1,2234,320,1194.349292472,958809,1,1200.433292444,ack,hop_completion,6.083999972000129
130,4,5,7,1,2265,323,1200.433292472,965940,1,1201.980292444,ack,hop_completion,1.5469999720000942
130,7,8,7,1,5942,328,1181.550292498,945232,6,1202.14229247,dack_expiry,hop_capacity_release,20.59199997199994
130,8,2,7,1,4386,334,1177.507295402,940534,5,1202.220295374,dack_expiry,hop_capacity_release,24.712999972000034
130,7,8,7,1,5956,329,1183.734292498,947576,6,1204.57329247,dack_expiry,hop_capacity_release,20.83899997200001
130,4,5,7,1,2237,325,1201.980292472,967787,1,1205.997292444,ack,hop_completion,4.0169999720001215
130,7,8,7,1,6001,330,1186.087292498,949324,6,1206.97829247,dack_expiry,hop_capacity_release,20.890999972000145
130,7,8,7,1,6012,331,1187.309292498,950733,6,1208.25229247,dack_expiry,hop_capacity_release,20.942999971999825
130,7,8,7,1,6030,332,1189.246292498,952809,6,1209.98129247,dack_expiry,hop_capacity_release,20.73499997199997
130,7,8,7,1,6060,335,1202.142292498,968015,6,1210.946000028,no_ack,hop_completion,8.80370753000011
